area_code,area_name,period,value,indicator
E06000050,Cheshire West and Chester,2018,34094,Gross domestic product (GDP) per head at current market prices (£)
E06000050,Cheshire West and Chester,2019,35819,Gross domestic product (GDP) per head at current market prices (£)
E06000050,Cheshire West and Chester,2020,33220,Gross domestic product (GDP) per head at current market prices (£)
E06000050,Cheshire West and Chester,2021,36714,Gross domestic product (GDP) per head at current market prices (£)
E06000050,Cheshire West and Chester,2022,39841,Gross domestic product (GDP) per head at current market prices (£)
E06000050,Cheshire West and Chester,2023,43099,Gross domestic product (GDP) per head at current market prices (£)
E06000006,Halton,2013,30558,Gross domestic product (GDP) per head at current market prices (£)
E06000006,Halton,2014,32302,Gross domestic product (GDP) per head at current market prices (£)
E06000006,Halton,2015,33393,Gross domestic product (GDP) per head at current market prices (£)
E06000006,Halton,2016,33352,Gross domestic product (GDP) per head at current market prices (£)
E06000006,Halton,2017,34403,Gross domestic product (GDP) per head at current market prices (£)
E06000006,Halton,2018,35684,Gross domestic product (GDP) per head at current market prices (£)
E06000006,Halton,2019,36947,Gross domestic product (GDP) per head at current market prices (£)
E06000006,Halton,2020,33776,Gross domestic product (GDP) per head at current market prices (£)
E06000006,Halton,2021,36930,Gross domestic product (GDP) per head at current market prices (£)
E06000006,Halton,2022,40261,Gross domestic product (GDP) per head at current market prices (£)
E06000006,Halton,2023,43822,Gross domestic product (GDP) per head at current market prices (£)
E06000015,Derby,2013,29522,Gross domestic product (GDP) per head at current market prices (£)
E06000015,Derby,2014,28884,Gross domestic product (GDP) per head at current market prices (£)
E06000015,Derby,2015,28792,Gross domestic product (GDP) per head at current market prices (£)
E06000015,Derby,2016,28986,Gross domestic product (GDP) per head at current market prices (£)
E06000015,Derby,2017,28966,Gross domestic product (GDP) per head at current market prices (£)
E06000015,Derby,2018,30791,Gross domestic product (GDP) per head at current market prices (£)
E06000015,Derby,2019,31758,Gross domestic product (GDP) per head at current market prices (£)
E06000015,Derby,2020,32700,Gross domestic product (GDP) per head at current market prices (£)
E06000015,Derby,2021,34635,Gross domestic product (GDP) per head at current market prices (£)
E06000015,Derby,2022,35751,Gross domestic product (GDP) per head at current market prices (£)
E06000015,Derby,2023,38113,Gross domestic product (GDP) per head at current market prices (£)
E06000061,North Northamptonshire,2013,20146,Gross domestic product (GDP) per head at current market prices (£)
E06000061,North Northamptonshire,2014,20886,Gross domestic product (GDP) per head at current market prices (£)
E06000061,North Northamptonshire,2015,21281,Gross domestic product (GDP) per head at current market prices (£)
E06000061,North Northamptonshire,2016,21550,Gross domestic product (GDP) per head at current market prices (£)
E06000061,North Northamptonshire,2017,21724,Gross domestic product (GDP) per head at current market prices (£)
E06000061,North Northamptonshire,2018,22384,Gross domestic product (GDP) per head at current market prices (£)
E06000061,North Northamptonshire,2019,23134,Gross domestic product (GDP) per head at current market prices (£)
E06000061,North Northamptonshire,2020,21857,Gross domestic product (GDP) per head at current market prices (£)
E06000061,North Northamptonshire,2021,23946,Gross domestic product (GDP) per head at current market prices (£)
E06000061,North Northamptonshire,2022,25700,Gross domestic product (GDP) per head at current market prices (£)
E06000061,North Northamptonshire,2023,27000,Gross domestic product (GDP) per head at current market prices (£)
E06000020,Telford and Wrekin,2013,24200,Gross domestic product (GDP) per head at current market prices (£)
E06000020,Telford and Wrekin,2014,24581,Gross domestic product (GDP) per head at current market prices (£)
E06000020,Telford and Wrekin,2015,24596,Gross domestic product (GDP) per head at current market prices (£)
E06000020,Telford and Wrekin,2016,26445,Gross domestic product (GDP) per head at current market prices (£)
E06000020,Telford and Wrekin,2017,27109,Gross domestic product (GDP) per head at current market prices (£)
E06000020,Telford and Wrekin,2018,27699,Gross domestic product (GDP) per head at current market prices (£)
E06000020,Telford and Wrekin,2019,28823,Gross domestic product (GDP) per head at current market prices (£)
E06000020,Telford and Wrekin,2020,28657,Gross domestic product (GDP) per head at current market prices (£)
E06000020,Telford and Wrekin,2021,31935,Gross domestic product (GDP) per head at current market prices (£)
E06000020,Telford and Wrekin,2022,32846,Gross domestic product (GDP) per head at current market prices (£)
E06000020,Telford and Wrekin,2023,33349,Gross domestic product (GDP) per head at current market prices (£)
E08000029,Solihull,2013,33314,Gross domestic product (GDP) per head at current market prices (£)
E08000029,Solihull,2014,34749,Gross domestic product (GDP) per head at current market prices (£)
E08000029,Solihull,2015,37955,Gross domestic product (GDP) per head at current market prices (£)
E08000029,Solihull,2016,42537,Gross domestic product (GDP) per head at current market prices (£)
E08000029,Solihull,2017,46131,Gross domestic product (GDP) per head at current market prices (£)
E08000029,Solihull,2018,47389,Gross domestic product (GDP) per head at current market prices (£)
E08000029,Solihull,2019,48567,Gross domestic product (GDP) per head at current market prices (£)
E08000029,Solihull,2020,41928,Gross domestic product (GDP) per head at current market prices (£)
E08000029,Solihull,2021,44033,Gross domestic product (GDP) per head at current market prices (£)
E08000029,Solihull,2022,49512,Gross domestic product (GDP) per head at current market prices (£)
E08000029,Solihull,2023,53082,Gross domestic product (GDP) per head at current market prices (£)
E06000055,Bedford,2013,22598,Gross domestic product (GDP) per head at current market prices (£)
E06000055,Bedford,2014,23675,Gross domestic product (GDP) per head at current market prices (£)
E06000055,Bedford,2015,24252,Gross domestic product (GDP) per head at current market prices (£)
E06000055,Bedford,2016,24607,Gross domestic product (GDP) per head at current market prices (£)
E06000055,Bedford,2017,26186,Gross domestic product (GDP) per head at current market prices (£)
E06000055,Bedford,2018,26098,Gross domestic product (GDP) per head at current market prices (£)
E06000055,Bedford,2019,27054,Gross domestic product (GDP) per head at current market prices (£)
E06000055,Bedford,2020,24411,Gross domestic product (GDP) per head at current market prices (£)
E06000055,Bedford,2021,26916,Gross domestic product (GDP) per head at current market prices (£)
E06000055,Bedford,2022,29447,Gross domestic product (GDP) per head at current market prices (£)
E06000055,Bedford,2023,30789,Gross domestic product (GDP) per head at current market prices (£)
E06000031,Peterborough,2013,29012,Gross domestic product (GDP) per head at current market prices (£)
E06000031,Peterborough,2014,30688,Gross domestic product (GDP) per head at current market prices (£)
E06000031,Peterborough,2015,29549,Gross domestic product (GDP) per head at current market prices (£)
E06000031,Peterborough,2016,30948,Gross domestic product (GDP) per head at current market prices (£)
E06000031,Peterborough,2017,33561,Gross domestic product (GDP) per head at current market prices (£)
E06000031,Peterborough,2018,35453,Gross domestic product (GDP) per head at current market prices (£)
E06000031,Peterborough,2019,33710,Gross domestic product (GDP) per head at current market prices (£)
E06000031,Peterborough,2020,32764,Gross domestic product (GDP) per head at current market prices (£)
E06000031,Peterborough,2021,34919,Gross domestic product (GDP) per head at current market prices (£)
E06000031,Peterborough,2022,36372,Gross domestic product (GDP) per head at current market prices (£)
E06000031,Peterborough,2023,39935,Gross domestic product (GDP) per head at current market prices (£)
E06000042,Milton Keynes,2013,40724,Gross domestic product (GDP) per head at current market prices (£)
E06000042,Milton Keynes,2014,44404,Gross domestic product (GDP) per head at current market prices (£)
E06000042,Milton Keynes,2015,48543,Gross domestic product (GDP) per head at current market prices (£)
E06000042,Milton Keynes,2016,47149,Gross domestic product (GDP) per head at current market prices (£)
E06000042,Milton Keynes,2017,50601,Gross domestic product (GDP) per head at current market prices (£)
E06000042,Milton Keynes,2018,52115,Gross domestic product (GDP) per head at current market prices (£)
E06000042,Milton Keynes,2019,53137,Gross domestic product (GDP) per head at current market prices (£)
E06000042,Milton Keynes,2020,50339,Gross domestic product (GDP) per head at current market prices (£)
E06000042,Milton Keynes,2021,53019,Gross domestic product (GDP) per head at current market prices (£)
E06000042,Milton Keynes,2022,58023,Gross domestic product (GDP) per head at current market prices (£)
E06000042,Milton Keynes,2023,59940,Gross domestic product (GDP) per head at current market prices (£)
E06000025,South Gloucestershire,2013,38303,Gross domestic product (GDP) per head at current market prices (£)
E06000025,South Gloucestershire,2014,41359,Gross domestic product (GDP) per head at current market prices (£)
E06000025,South Gloucestershire,2015,41164,Gross domestic product (GDP) per head at current market prices (£)
E06000025,South Gloucestershire,2016,42824,Gross domestic product (GDP) per head at current market prices (£)
E06000025,South Gloucestershire,2017,43413,Gross domestic product (GDP) per head at current market prices (£)
E06000025,South Gloucestershire,2018,44932,Gross domestic product (GDP) per head at current market prices (£)
E06000025,South Gloucestershire,2019,46358,Gross domestic product (GDP) per head at current market prices (£)
E06000025,South Gloucestershire,2020,45264,Gross domestic product (GDP) per head at current market prices (£)
E06000025,South Gloucestershire,2021,49748,Gross domestic product (GDP) per head at current market prices (£)
E06000025,South Gloucestershire,2022,54737,Gross domestic product (GDP) per head at current market prices (£)
E06000025,South Gloucestershire,2023,60120,Gross domestic product (GDP) per head at current market prices (£)
E06000030,Swindon,2013,38800,Gross domestic product (GDP) per head at current market prices (£)
E06000030,Swindon,2014,41622,Gross domestic product (GDP) per head at current market prices (£)
E06000030,Swindon,2015,42724,Gross domestic product (GDP) per head at current market prices (£)
E06000030,Swindon,2016,42944,Gross domestic product (GDP) per head at current market prices (£)
E06000030,Swindon,2017,43422,Gross domestic product (GDP) per head at current market prices (£)
E06000030,Swindon,2018,46219,Gross domestic product (GDP) per head at current market prices (£)
E06000030,Swindon,2019,47518,Gross domestic product (GDP) per head at current market prices (£)
E06000030,Swindon,2020,43321,Gross domestic product (GDP) per head at current market prices (£)
E06000030,Swindon,2021,46118,Gross domestic product (GDP) per head at current market prices (£)
E06000030,Swindon,2022,54647,Gross domestic product (GDP) per head at current market prices (£)
E06000030,Swindon,2023,57253,Gross domestic product (GDP) per head at current market prices (£)
E92000001,England,2013,28099,Gross domestic product (GDP) per head at current market prices (£)
E92000001,England,2014,29259,Gross domestic product (GDP) per head at current market prices (£)
E92000001,England,2015,30045,Gross domestic product (GDP) per head at current market prices (£)
E92000001,England,2016,31003,Gross domestic product (GDP) per head at current market prices (£)
E92000001,England,2017,32166,Gross domestic product (GDP) per head at current market prices (£)
E92000001,England,2018,33018,Gross domestic product (GDP) per head at current market prices (£)
E92000001,England,2019,34103,Gross domestic product (GDP) per head at current market prices (£)
E92000001,England,2020,32153,Gross domestic product (GDP) per head at current market prices (£)
E92000001,England,2021,34714,Gross domestic product (GDP) per head at current market prices (£)
E92000001,England,2022,37774,Gross domestic product (GDP) per head at current market prices (£)
E92000001,England,2023,40382,Gross domestic product (GDP) per head at current market prices (£)
