area_code,area_name,period,indicator,measure,unit,value
E06000034,Thurrock,2017/18,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,40886
E08000009,Trafford,2017/18,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,25538
E06000007,Warrington,2017/18,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,40226
E06000014,York,2017/18,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,39650
E06000055,Bedford,2018/19,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,30208
E08000002,Bury,2018/19,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,25131
E06000050,Cheshire West and Chester,2018/19,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,47989
E06000015,Derby,2018/19,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,52404
E06000035,Medway,2018/19,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,52801
E06000042,Milton Keynes,2018/19,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,30837
E06000031,Peterborough,2018/19,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,37750
E06000038,Reading,2018/19,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,30804
E08000029,Solihull,2018/19,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,40979
E06000025,South Gloucestershire,2018/19,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,31485
E08000007,Stockport,2018/19,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,33032
E06000030,Swindon,2018/19,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,39416
E06000034,Thurrock,2018/19,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,42120
E08000009,Trafford,2018/19,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,25524
E06000007,Warrington,2018/19,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,38714
E06000014,York,2018/19,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,41671
E06000055,Bedford,2019/20,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,29848
E08000002,Bury,2019/20,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,25437
E06000050,Cheshire West and Chester,2019/20,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,48764
E06000015,Derby,2019/20,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,48455
E06000035,Medway,2019/20,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,49735
E06000042,Milton Keynes,2019/20,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,36001
E06000031,Peterborough,2019/20,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,38399
E06000038,Reading,2019/20,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,30713
E08000029,Solihull,2019/20,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,41166
E06000025,South Gloucestershire,2019/20,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,32435
E08000007,Stockport,2019/20,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,34426
E06000030,Swindon,2019/20,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,37841
E06000034,Thurrock,2019/20,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,43101
E08000009,Trafford,2019/20,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,26582
E06000007,Warrington,2019/20,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,36988
E06000014,York,2019/20,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,34906
E06000055,Bedford,2020/21,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,35508
E08000002,Bury,2020/21,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,28405
